Waterloop;Lambert X/Y;X;Y;Omschrijving;Gemeente;Provincie;Bekken;Afvissingsmethode;Jaar;Datum;Nederlandse naam;Aantal per vangstinspanning;Eenheid
Zwalmbeek;107325/170937;107325;170937;monding Boembeek SA rwzi;Zwalm;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2014;01/09/2014;serpeling;1.00;per 100m
Zwalmbeek;107325/170937;107325;170937;monding Boembeek SA rwzi;Zwalm;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2020;19/09/2020;serpeling;2.33;per 100m
Zwalmbeek;107346/170749;107346;170749;aan de Boembekemolen;Zottegem;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2005;20/04/2005;kopvoorn;20.00;per 100m
Zwalmbeek;107346/170749;107346;170749;aan de Boembekemolen;Zottegem;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2012;16/05/2012;kopvoorn;1.00;per 100m
Zwalmbeek;107615/172322;107615;172322;aan de Oude Molen;Zottegem;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2022;31/03/2022;kopvoorn;;per 100m
Zwalmbeek;107615/172322;107615;172322;aan de Oude Molen;Zottegem;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2014;15/05/2014;serpeling;2.00;per 100m
Zwalmbeek;107615/172322;107615;172322;aan de Oude Molen;Zottegem;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2020;28/05/2020;serpeling;2.61;per 100m
Zwalmbeek;107615/172322;107615;172322;aan de Oude Molen;Zottegem;Oost-Vlaanderen;Boven-Scheldebekken;Elektrisch;2022;31/03/2022;serpeling;;per 100m
Wijze Beek;118777/158790;118777;158790;/;Geraardsbergen;Oost-Vlaanderen;Denderbekken;Elektrisch;2008;10/03/2008;serpeling;6.00;per 100m
Wijze Beek;118777/158790;118777;158790;/;Geraardsbergen;Oost-Vlaanderen;Denderbekken;Elektrisch;2011;14/03/2011;serpeling;23.00;per 100m
Zeeschelde;122024/189948;122024;189948;Bergenmeersen;Wichelen;Oost-Vlaanderen;Beneden-Scheldebekken;Elektrisch;2013;21/05/2013;kopvoorn;0.91;per 100m
Dender;124825/168876;124825;168876;stroomafwaarts de sluis van Ninove;Ninove;Oost-Vlaanderen;Denderbekken;Fuiken;2008;18/03/2008;kopvoorn;0.25;per fuik
Dender;124825/168876;124825;168876;stroomafwaarts de sluis van Ninove;Ninove;Oost-Vlaanderen;Denderbekken;Fuiken;1996;26/03/1996;serpeling;0.06;per fuik
Bellebeek;132232/175409;132232;175409;aan de Bellemolen;Affligem;Brabant;Denderbekken;Elektrisch;2012;25/06/2012;kopvoorn;1.00;per 100m
Bellebeek;132232/175409;132232;175409;aan de Bellemolen;Affligem;Brabant;Denderbekken;Elektrisch;2023;28/04/2023;serpeling;0.50;per 100m
;136198/197301;136198;197301;Lippenbroek (Zeeschelde);Hamme;Oost-Vlaanderen;Beneden-Scheldebekken;Fuiken;2022;08/11/2022;kopvoorn;0.33;per fuik
Kanaal naar Charleroi;141017/158732;141017;158732;stroomafwaarts de sluis;Halle;Brabant;Dijlebekken;Elektrisch;2007;22/10/2007;serpeling;0.60;per 100m
Zeeschelde;141472/200583;141472;200583;Grens Steendorp/Temse;Bornem;Antwerpen;Beneden-Scheldebekken;Fuiken;2022;10/08/2022;kopvoorn;0.50;per fuik
;145221/167447;145221;167447;aan de ring waar kanaal uitkomt;Anderlecht;Brussels Hoofdstedelijk Gewest;;Elektrisch;2022;14/10/2022;kopvoorn;0.40;per 100m
;145221/167447;145221;167447;aan de ring waar kanaal uitkomt;Anderlecht;Brussels Hoofdstedelijk Gewest;;Elektrisch;2007;23/10/2007;serpeling;0.20;per 100m
Zenne;145520/167784;145520;167784;/;Anderlecht;Brussels Hoofdstedelijk Gewest;Dijlebekken;Elektrisch;2016;13/06/2016;kopvoorn;0.50;per 100m
Zenne;145520/167784;145520;167784;/;Anderlecht;Brussels Hoofdstedelijk Gewest;Dijlebekken;Elektrisch;2022;13/10/2022;kopvoorn;1.00;per 100m
Zenne;145711/163216;145711;163216;zennebeemden;Beersel;Brabant;Dijlebekken;Elektrisch;2021;11/08/2021;kopvoorn;1.80;per 100m
