Waterloop;Lambert X/Y;X;Y;Omschrijving;Gemeente;Provincie;Bekken;Afvissingsmethode;Jaar;Datum;Nederlandse naam;Aantal per vangstinspanning;Eenheid
IJse;167266/166508;167266;166508;Loonbeek, 100 m van straat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2018;07/09/2018;serpeling;4.00;per 100m
Laan;167314/162504;167314;162504;aan de rand van het Sint-Agatha-Rodebos;Huldenberg;Brabant;Dijlebekken;Elektrisch;1998;25/05/1998;kopvoorn;1.00;per 100m
IJse;167943/167029;167943;167029;Beekstraat (500m);Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;18/02/2015;kopvoorn;3.40;per 100m
IJse;167943/167029;167943;167029;Beekstraat (500m);Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;18/02/2015;serpeling;1.80;per 100m
IJse;168084/167109;168084;167109;SH15IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;18/02/2015;kopvoorn;3.40;per 100m
IJse;168084/167109;168084;167109;SH15IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;11/08/2015;kopvoorn;3.80;per 100m
IJse;168084/167109;168084;167109;SH15IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;18/02/2015;serpeling;1.80;per 100m
IJse;168084/167109;168084;167109;SH15IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;11/08/2015;serpeling;3.60;per 100m
IJse;168085/167107;168085;167107;SH12IJse_Beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2012;31/07/2012;kopvoorn;2.40;per 100m
IJse;168085/167107;168085;167107;SH12IJse_Beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2012;31/07/2012;serpeling;0.40;per 100m
IJse;168085/167107;168085;167107;SH14IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2014;08/09/2014;kopvoorn;13.40;per 100m
IJse;168085/167107;168085;167107;SH14IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2014;08/09/2014;serpeling;4.40;per 100m
IJse;168085/167109;168085;167109;SH16IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;16/02/2016;kopvoorn;0.40;per 100m
IJse;168085/167109;168085;167109;SH16IJse_beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;16/02/2016;serpeling;0.40;per 100m
IJse;168088/167106;168088;167106;SH13IJse_Beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;29/07/2013;kopvoorn;2.60;per 100m
IJse;168088/167106;168088;167106;SH13IJse_Beekst;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;29/07/2013;serpeling;0.40;per 100m
IJse;168090/167109;168090;167109;Beekstraat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;29/04/2015;kopvoorn;7.00;per 100m
Dijle;168795/164165;168795;164165;100m SA brug;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;23/05/2016;serpeling;0.50;per 100m
IJse;168864/167799;168864;167799;Eigenstraat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;29/08/2013;kopvoorn;7.00;per 100m
IJse;168864/167799;168864;167799;Eigenstraat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;13/11/2015;kopvoorn;17.50;per 100m
IJse;168864/167799;168864;167799;Eigenstraat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2009;11/03/2009;serpeling;1.00;per 100m
IJse;168864/167799;168864;167799;Eigenstraat;Huldenberg;Brabant;Dijlebekken;Elektrisch;2015;24/04/2015;serpeling;4.00;per 100m
Dijle;168939/162919;168939;162919;Pont des Brebis, Pecrot;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;23/05/2016;serpeling;0.50;per 100m
Dijle;168946/162786;168946;162786;200m SO Pont de Brévis;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;23/05/2016;serpeling;0.50;per 100m
Laan;168949/164747;168949;164747;aan de monding in de Dijle;Huldenberg;Brabant;Dijlebekken;Elektrisch;2010;22/04/2010;serpeling;0.50;per 100m
Molenbeek;169080/207936;169080;207936;Viersel;Zandhoven;Antwerpen;Netebekken;Elektrisch;2019;01/07/2019;kopvoorn;1.00;per 100m
IJse;169154/168120;169154;168120;SH16IJse_Mondin;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;29/09/2016;kopvoorn;;per 100m
IJse;169154/168120;169154;168120;SH16IJse_Mondin;Huldenberg;Brabant;Dijlebekken;Elektrisch;2016;29/09/2016;serpeling;;per 100m
Dijle;169163/165020;169163;165020;aan de monding van de Laan;Huldenberg;Brabant;Dijlebekken;Elektrisch;2007;04/06/2007;kopvoorn;0.20;per 100m
Dijle;169163/165020;169163;165020;aan de monding van de Laan;Huldenberg;Brabant;Dijlebekken;Elektrisch;2010;03/06/2010;kopvoorn;0.60;per 100m
Dijle;169186/186325;169186;186325;Hansbrug;Haacht;Brabant;Dijlebekken;Elektrisch;2013;24/04/2013;kopvoorn;0.60;per 100m
Dijle;169186/186325;169186;186325;Hansbrug;Haacht;Brabant;Dijlebekken;Elektrisch;2019;19/06/2019;kopvoorn;2.60;per 100m
Dijle;169186/186325;169186;186325;Hansbrug;Haacht;Brabant;Dijlebekken;Elektrisch;2019;19/06/2019;serpeling;0.20;per 100m
Dijle;169229/168159;169229;168159;aan de monding van de IJse;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;22/04/2013;kopvoorn;0.40;per 100m
Dijle;169229/168159;169229;168159;aan de monding van de IJse;Huldenberg;Brabant;Dijlebekken;Elektrisch;2022;24/05/2022;kopvoorn;2.00;per 100m
Dijle;169229/168159;169229;168159;aan de monding van de IJse;Huldenberg;Brabant;Dijlebekken;Elektrisch;2022;09/11/2022;kopvoorn;;per 100m
Dijle;169229/168159;169229;168159;aan de monding van de IJse;Huldenberg;Brabant;Dijlebekken;Elektrisch;2013;22/04/2013;serpeling;0.20;per 100m
Dijle;169229/168159;169229;168159;aan de monding van de IJse;Huldenberg;Brabant;Dijlebekken;Elektrisch;2019;17/06/2019;serpeling;0.20;per 100m
Dijle;169229/168159;169229;168159;aan de monding van de IJse;Huldenberg;Brabant;Dijlebekken;Elektrisch;2022;24/05/2022;serpeling;0.50;per 100m
Dijle;169342/169762;169342;169762;aan de monding van de Leigracht;Bertem;Brabant;Dijlebekken;Elektrisch;2016;24/05/2016;kopvoorn;0.50;per 100m
Dijle;169342/169762;169342;169762;aan de monding van de Leigracht;Bertem;Brabant;Dijlebekken;Elektrisch;2022;24/05/2022;kopvoorn;1.67;per 100m
Dijle;169645/161047;169645;161047;Florival;;Brabant;Dijlebekken;Elektrisch;2003;06/05/2003;kopvoorn;0.20;per 100m
Dijle;169645/161047;169645;161047;Florival;;Brabant;Dijlebekken;Elektrisch;2010;03/06/2010;kopvoorn;0.73;per 100m
Dijle;169645/161047;169645;161047;Florival;;Brabant;Dijlebekken;Elektrisch;2019;17/06/2019;kopvoorn;0.20;per 100m
Dijle;171089/186304;171089;186304;aan de monding van de Grote Laakbeek;Haacht;Brabant;Dijlebekken;Elektrisch;2007;06/06/2007;kopvoorn;0.40;per 100m
Dijle;171089/186304;171089;186304;aan de monding van de Grote Laakbeek;Haacht;Brabant;Dijlebekken;Elektrisch;2016;25/05/2016;kopvoorn;5.00;per 100m
Dijle;171089/186304;171089;186304;aan de monding van de Grote Laakbeek;Haacht;Brabant;Dijlebekken;Elektrisch;2022;23/05/2022;kopvoorn;1.80;per 100m
Dijle;171137/186267;171137;186267;100m SO monding Grote Laakbeek;Tremelo;Brabant;Dijlebekken;Elektrisch;2016;25/05/2016;kopvoorn;0.50;per 100m
Dijle;171137/186267;171137;186267;100m SO monding Grote Laakbeek;Tremelo;Brabant;Dijlebekken;Elektrisch;2016;25/05/2016;serpeling;2.00;per 100m
Dijle;171171/186173;171171;186173;200m SO monding Grote laakbeek;Rotselaar;Brabant;Dijlebekken;Elektrisch;2016;25/05/2016;kopvoorn;3.00;per 100m
Klein Wilboerebeek;171584/211991;171584;211991;SA fietspad;Zandhoven;Antwerpen;Netebekken;Elektrisch;2023;07/07/2023;serpeling;7.00;per 100m
Molenbeek;171673/210368;171673;210368;Aan de samenvloeiing met de Klein Wilboerebeek;Zandhoven;Antwerpen;Netebekken;Elektrisch;2017;19/07/2017;kopvoorn;1.00;per 100m
Dijle;172125/172534;172125;172534;aan de Arenbergmolen;Leuven;Brabant;Dijlebekken;Elektrisch;2003;07/05/2003;kopvoorn;0.20;per 100m
Dijle;172125/172534;172125;172534;aan de Arenbergmolen;Leuven;Brabant;Dijlebekken;Elektrisch;2007;05/06/2007;kopvoorn;4.60;per 100m
Dijle;172125/172534;172125;172534;aan de Arenbergmolen;Leuven;Brabant;Dijlebekken;Elektrisch;2010;27/07/2010;kopvoorn;13.00;per 100m
Molenbeek;172279/210708;172279;210708;aan zuiveringsstaion;Zandhoven;Antwerpen;Netebekken;Elektrisch;2012;25/04/2012;kopvoorn;1.00;per 100m
Demer;172864/184242;172864;184242;monding Dijle;Rotselaar;Brabant;Demerbekken;Elektrisch;2012;11/06/2012;kopvoorn;0.60;per 100m
Dijle;173060/173913;173060;173913;aan de Dijlemolens;Leuven;Brabant;Dijlebekken;Elektrisch;2019;18/06/2019;kopvoorn;1.00;per 100m
Dijle;173060/173913;173060;173913;aan de Dijlemolens;Leuven;Brabant;Dijlebekken;Elektrisch;2019;18/06/2019;serpeling;1.00;per 100m
Dijle;173808/179531;173808;179531;aan de Dijlebrug (Aquafin);Leuven;Brabant;Dijlebekken;Elektrisch;2013;23/04/2013;kopvoorn;0.80;per 100m
Dijle;173808/179531;173808;179531;aan de Dijlebrug (Aquafin);Leuven;Brabant;Dijlebekken;Elektrisch;2018;25/06/2018;kopvoorn;0.60;per 100m
Dijle;173808/179531;173808;179531;aan de Dijlebrug (Aquafin);Leuven;Brabant;Dijlebekken;Elektrisch;2019;19/06/2019;kopvoorn;5.60;per 100m
Dijle;173808/179531;173808;179531;aan de Dijlebrug (Aquafin);Leuven;Brabant;Dijlebekken;Elektrisch;2021;13/07/2021;kopvoorn;9.50;per 100m
Dijle;173808/179531;173808;179531;aan de Dijlebrug (Aquafin);Leuven;Brabant;Dijlebekken;Elektrisch;2018;25/06/2018;serpeling;0.40;per 100m
Dijle;173808/179531;173808;179531;aan de Dijlebrug (Aquafin);Leuven;Brabant;Dijlebekken;Elektrisch;2019;19/06/2019;serpeling;0.40;per 100m
Ruisseau aux Etangs Hendrickx;174297/172680;174297;172680;Afwateringsbeek park Heverlee;Leuven;Brabant;Dijlebekken;Elektrisch;2018;12/09/2018;kopvoorn;12.00;per 100m
Molenbeek;174301/172699;174301;172699;Abdij Park Heverlee;Leuven;Brabant;Dijlebekken;Elektrisch;2017;05/09/2017;kopvoorn;148.00;per 100m
Molenbeek;174301/172699;174301;172699;Abdij Park Heverlee;Leuven;Brabant;Dijlebekken;Elektrisch;2018;12/09/2018;kopvoorn;148.00;per 100m
Molenbeek;174301/172699;174301;172699;Abdij Park Heverlee;Leuven;Brabant;Dijlebekken;Elektrisch;2017;05/09/2017;serpeling;40.00;per 100m
Molenbeek;174301/172699;174301;172699;Abdij Park Heverlee;Leuven;Brabant;Dijlebekken;Elektrisch;2018;12/09/2018;serpeling;4.00;per 100m
Vunt;174350/179128;174350;179128;Wijgmaal;Leuven;Brabant;Dijlebekken;Elektrisch;2023;03/10/2023;kopvoorn;3.00;per 100m
Grote Nete;174475/201797;174475;201797;Herberg t Schipken;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2006;20/03/2006;kopvoorn;0.50;per 100m
Grote Nete;174475/201797;174475;201797;Herberg t Schipken;Heist-op-den-Berg;Antwerpen;Netebekken;Fuiken;2006;20/03/2006;kopvoorn;3.25;per fuik
Demer;174581/184472;174581;184472;voor de monding van de Winge tot aan de Soldatenbrug;Rotselaar;Brabant;Demerbekken;Elektrisch;2012;11/06/2012;kopvoorn;1.60;per 100m
Demer;174581/184472;174581;184472;voor de monding van de Winge tot aan de Soldatenbrug;Rotselaar;Brabant;Demerbekken;Elektrisch;2014;16/06/2014;kopvoorn;2.40;per 100m
Demer;174581/184472;174581;184472;voor de monding van de Winge tot aan de Soldatenbrug;Rotselaar;Brabant;Demerbekken;Elektrisch;2019;05/11/2019;kopvoorn;2.20;per 100m
Demer;174581/184472;174581;184472;voor de monding van de Winge tot aan de Soldatenbrug;Rotselaar;Brabant;Demerbekken;Elektrisch;2020;22/06/2020;kopvoorn;1.40;per 100m
Demer;174581/184472;174581;184472;voor de monding van de Winge tot aan de Soldatenbrug;Rotselaar;Brabant;Demerbekken;Elektrisch;2021;22/10/2021;kopvoorn;8.40;per 100m
Demer;174581/184472;174581;184472;voor de monding van de Winge tot aan de Soldatenbrug;Rotselaar;Brabant;Demerbekken;Elektrisch;2021;22/10/2021;serpeling;0.20;per 100m
Rotselaar meer (De Plas);175102/183338;175102;183338;Elektrisch beviste oeverstrook 3 in Zone A (visserszone)- Rotselaar Meer;Rotselaar;Brabant;Demerbekken;Elektrisch;2007;03/09/2007;kopvoorn;;per 100m
Rotselaar meer (De Plas);175473/183481;175473;183481;Elektrisch beviste oeverstrook 8 in Zone F (beek Oost) - Rotselaar Meer;Rotselaar;Brabant;Demerbekken;Elektrisch;2007;03/09/2007;kopvoorn;;per 100m
Kleine Nete;175582/208603;175582;208603;Rooiaarde;Grobbendonk;Antwerpen;Netebekken;Elektrisch;2010;23/04/2010;kopvoorn;3.50;per 100m
Kleine Nete;175582/208603;175582;208603;Rooiaarde;Grobbendonk;Antwerpen;Netebekken;Elektrisch;2017;18/07/2017;kopvoorn;0.17;per 100m
Kleine Nete;175582/208603;175582;208603;Rooiaarde;Grobbendonk;Antwerpen;Netebekken;Elektrisch;2023;10/11/2023;kopvoorn;0.33;per 100m
Kleine Nete;175582/208603;175582;208603;Rooiaarde;Grobbendonk;Antwerpen;Netebekken;Elektrisch;2007;17/04/2007;serpeling;0.50;per 100m
Grote Nete;175727/199227;175727;199227;Krombeekweg, Hof ter Borcht;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2006;20/03/2006;kopvoorn;2.50;per 100m
Grote Nete;175727/199227;175727;199227;Krombeekweg, Hof ter Borcht;Heist-op-den-Berg;Antwerpen;Netebekken;Fuiken;2006;20/03/2006;kopvoorn;0.50;per fuik
Grote Nete;175727/199227;175727;199227;Krombeekweg, Hof ter Borcht;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2009;28/04/2009;kopvoorn;2.00;per 100m
Grote Nete;175727/199227;175727;199227;Krombeekweg, Hof ter Borcht;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2012;08/05/2012;kopvoorn;1.50;per 100m
Grote Nete;175727/199227;175727;199227;Krombeekweg, Hof ter Borcht;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2020;04/03/2020;kopvoorn;1.08;per 100m
Molenbeek;176098/172228;176098;172228;/;Leuven;Brabant;Dijlebekken;Elektrisch;2012;12/04/2012;kopvoorn;1.00;per 100m
Molenbeek;176098/172228;176098;172228;/;Leuven;Brabant;Dijlebekken;Elektrisch;2023;06/03/2023;kopvoorn;1.00;per 100m
De Delfte Beek;176099/215473;176099;215473;aan kluisbrug;Zoersel;Antwerpen;Netebekken;Elektrisch;2009;20/04/2009;kopvoorn;2.00;per 100m
De Delfte Beek;176099/215473;176099;215473;aan kluisbrug;Zoersel;Antwerpen;Netebekken;Elektrisch;2012;24/04/2012;kopvoorn;10.00;per 100m
De Delfte Beek;176099/215473;176099;215473;aan kluisbrug;Zoersel;Antwerpen;Netebekken;Elektrisch;2016;21/09/2016;kopvoorn;20.00;per 100m
De Delfte Beek;176099/215473;176099;215473;aan kluisbrug;Zoersel;Antwerpen;Netebekken;Elektrisch;2022;28/07/2022;kopvoorn;2.00;per 100m
De Delfte Beek;176099/215473;176099;215473;aan kluisbrug;Zoersel;Antwerpen;Netebekken;Elektrisch;2022;28/07/2022;serpeling;3.00;per 100m
Mark;176322/237341;176322;237341;Meer-Looi;Hoogstraten;Antwerpen;Maasbekken;Elektrisch;2004;25/05/2004;kopvoorn;0.50;per 100m
Molenbeek;176472/214798;176472;214798;Galgevoorste brug;Malle;Antwerpen;Netebekken;Elektrisch;2009;20/04/2009;kopvoorn;10.00;per 100m
Molenbeek;176472/214798;176472;214798;Galgevoorste brug;Malle;Antwerpen;Netebekken;Elektrisch;2012;24/04/2012;kopvoorn;9.00;per 100m
Molenbeek;176472/214798;176472;214798;Galgevoorste brug;Malle;Antwerpen;Netebekken;Elektrisch;2013;07/10/2013;kopvoorn;1.00;per 100m
Molenbeek;176482/214813;176482;214813;SH13_MolBolGalg;Malle;Antwerpen;Netebekken;Elektrisch;2013;07/08/2013;kopvoorn;0.40;per 100m
Molenbeek;176825/172121;176825;172121;Huizekensstraat;Bierbeek;Brabant;Dijlebekken;Elektrisch;2017;05/09/2017;kopvoorn;2.00;per 100m
Grote Nete;177254/196555;177254;196555;Grote nete;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2013;05/03/2013;kopvoorn;1.50;per 100m
Grote Nete;177254/196555;177254;196555;Grote nete;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2017;23/08/2017;kopvoorn;3.00;per 100m
Grote Nete;177254/196555;177254;196555;Grote nete;Heist-op-den-Berg;Antwerpen;Netebekken;Elektrisch;2019;15/03/2019;kopvoorn;0.50;per 100m
De Aa;178082/209509;178082;209509;VMM17_AaSADijkb;Vorselaar;Antwerpen;Netebekken;Fuiken;2017;15/06/2017;kopvoorn;;per 100m
De Aa;178326/209664;178326;209664;thv de dijkbaan;Vorselaar;Antwerpen;Netebekken;Elektrisch;2013;28/08/2013;kopvoorn;7.00;per 100m
Mark;178531/243333;178531;243333;Strijbeek, Mankweg;Hoogstraten;Antwerpen;Maasbekken;Elektrisch;2004;25/05/2004;serpeling;1.50;per 100m
Kleine Nete;178909/208394;178909;208394;Kleine Nete: brug Heike: ca. 100m stroomaf brug tot ca. 100m stroomop;Vorselaar;Antwerpen;Netebekken;Elektrisch;2013;16/07/2013;kopvoorn;3.60;per 100m
Kleine Nete;178909/208394;178909;208394;Kleine Nete: brug Heike: ca. 100m stroomaf brug tot ca. 100m stroomop;Vorselaar;Antwerpen;Netebekken;Elektrisch;2019;21/06/2019;kopvoorn;2.40;per 100m
Moutlaak;178985/185539;178985;185539;SA  Rivierenbrug;Aarschot;Brabant;Demerbekken;Fuiken;2016;14/10/2016;kopvoorn;0.25;per fuik
Demer;179024/185555;179024;185555;Rivierenbrug;Begijnendijk;Brabant;Demerbekken;Elektrisch;2012;11/06/2012;kopvoorn;0.60;per 100m
Demer;179024/185555;179024;185555;Rivierenbrug;Begijnendijk;Brabant;Demerbekken;Elektrisch;2023;08/06/2023;kopvoorn;11.80;per 100m
Demer;182155/186324;182155;186324;'s Hertogenmolen;Aarschot;Brabant;Demerbekken;Elektrisch;2003;05/05/2003;kopvoorn;0.20;per 100m
Demer;182155/186324;182155;186324;'s Hertogenmolen;Aarschot;Brabant;Demerbekken;Elektrisch;2006;03/04/2006;kopvoorn;2.20;per 100m
Demer;182155/186324;182155;186324;'s Hertogenmolen;Aarschot;Brabant;Demerbekken;Elektrisch;2006;18/05/2006;kopvoorn;1.00;per 100m
Demer;182155/186324;182155;186324;'s Hertogenmolen;Aarschot;Brabant;Demerbekken;Elektrisch;2009;05/06/2009;kopvoorn;0.40;per 100m
Demer;182155/186324;182155;186324;'s Hertogenmolen;Aarschot;Brabant;Demerbekken;Elektrisch;2012;07/06/2012;kopvoorn;6.20;per 100m
Grote Nete;182328/194990;182328;194990;100m SA punt 51313150;Hulshout;Antwerpen;Netebekken;Elektrisch;2023;04/10/2023;kopvoorn;2.50;per 100m
Grote Nete;182401/194973;182401;194973;grens met Westerlo, Hoog Heultje, Werstmeerse brug;Westerlo;Antwerpen;Netebekken;Elektrisch;2003;19/03/2003;kopvoorn;0.50;per 100m
Grote Nete;182401/194973;182401;194973;grens met Westerlo, Hoog Heultje, Werstmeerse brug;Westerlo;Antwerpen;Netebekken;Elektrisch;2006;22/03/2006;kopvoorn;1.00;per 100m
Grote Nete;182401/194973;182401;194973;grens met Westerlo, Hoog Heultje, Werstmeerse brug;Westerlo;Antwerpen;Netebekken;Elektrisch;2009;29/04/2009;kopvoorn;2.00;per 100m
Grote Nete;182401/194973;182401;194973;grens met Westerlo, Hoog Heultje, Werstmeerse brug;Westerlo;Antwerpen;Netebekken;Elektrisch;2017;20/09/2017;kopvoorn;13.00;per 100m
Grote Nete;182401/194973;182401;194973;grens met Westerlo, Hoog Heultje, Werstmeerse brug;Westerlo;Antwerpen;Netebekken;Elektrisch;2023;04/10/2023;kopvoorn;0.50;per 100m
Grote Nete;182579/194971;182579;194971;100SO punt 51313150A;Hulshout;Antwerpen;Netebekken;Elektrisch;2023;04/10/2023;kopvoorn;2.50;per 100m
Kanaal van Bocholt naar Herentals;182685/206631;182685;206631;/;Herentals;Antwerpen;Netebekken;Elektrisch;1996;01/10/1996;kopvoorn;0.20;per 100m
Kleine Nete;182983/208368;182983;208368;Aan kledingwinkel;Herentals;Antwerpen;Netebekken;Elektrisch;2013;16/07/2013;kopvoorn;18.40;per 100m
Kleine Nete;182983/208368;182983;208368;Aan kledingwinkel;Herentals;Antwerpen;Netebekken;Elektrisch;2018;24/05/2018;kopvoorn;0.75;per 100m
Kleine Nete;182983/208368;182983;208368;Aan kledingwinkel;Herentals;Antwerpen;Netebekken;Elektrisch;2019;21/06/2019;kopvoorn;1.50;per 100m
Kleine Nete;182983/208368;182983;208368;Aan kledingwinkel;Herentals;Antwerpen;Netebekken;Elektrisch;2021;18/11/2021;kopvoorn;4.00;per 100m
Kleine Nete;182983/208368;182983;208368;Aan kledingwinkel;Herentals;Antwerpen;Netebekken;Elektrisch;2013;16/07/2013;serpeling;0.60;per 100m
Demer;183217/186186;183217;186186;monding Motte;Aarschot;Brabant;Demerbekken;Elektrisch;2006;03/04/2006;kopvoorn;0.20;per 100m
Demer;183217/186186;183217;186186;monding Motte;Aarschot;Brabant;Demerbekken;Elektrisch;2012;07/06/2012;kopvoorn;1.00;per 100m
Grote Motte;183689/185682;183689;185682;achter de molen Schoonhoven;Aarschot;Brabant;Demerbekken;Elektrisch;1999;28/09/1999;kopvoorn;8.24;per 100m
Grote Motte;183689/185682;183689;185682;achter de molen Schoonhoven;Aarschot;Brabant;Demerbekken;Elektrisch;2003;04/03/2003;kopvoorn;26.00;per 100m
Grote Motte;183689/185682;183689;185682;achter de molen Schoonhoven;Aarschot;Brabant;Demerbekken;Elektrisch;2007;13/03/2007;kopvoorn;11.00;per 100m
Grote Motte;183689/185682;183689;185682;achter de molen Schoonhoven;Aarschot;Brabant;Demerbekken;Elektrisch;2016;27/09/2016;kopvoorn;11.00;per 100m
Grote Motte;183689/185682;183689;185682;achter de molen Schoonhoven;Aarschot;Brabant;Demerbekken;Elektrisch;2022;16/06/2022;kopvoorn;42.00;per 100m
De Aa;184965/213826;184965;213826;aan de stuw;Lille;Antwerpen;Netebekken;Elektrisch;2023;14/04/2023;kopvoorn;1.00;per 100m
Demer;186853/187250;186853;187250;Rommelaar;Aarschot;Brabant;Demerbekken;Elektrisch;2014;17/06/2014;kopvoorn;5.00;per 100m
Demer;186853/187250;186853;187250;Rommelaar;Aarschot;Brabant;Demerbekken;Elektrisch;2020;22/06/2020;kopvoorn;2.60;per 100m
Demer;186853/187250;186853;187250;Rommelaar;Aarschot;Brabant;Demerbekken;Elektrisch;2021;21/10/2021;kopvoorn;6.00;per 100m
Laarbeek;187233/187461;187233;187461;Demermeander 9, via Hompelstraat, Rommelaar;Aarschot;Brabant;Demerbekken;Elektrisch;2016;28/04/2016;kopvoorn;21.00;per 100m
Laarbeek;187233/187461;187233;187461;Demermeander 9, via Hompelstraat, Rommelaar;Aarschot;Brabant;Demerbekken;Elektrisch;2016;12/09/2016;kopvoorn;3.00;per 100m
Kleine Nete;187326/209997;187326;209997;bij Bobbejaanland;Geel;Antwerpen;Netebekken;Elektrisch;2017;18/08/2017;kopvoorn;9.00;per 100m
Kleine Nete;187326/209997;187326;209997;bij Bobbejaanland;Geel;Antwerpen;Netebekken;Elektrisch;2007;17/04/2007;serpeling;0.50;per 100m
Grote Gete;187359/162724;187359;162724;achter molen, SA stuw;Hoegaarden;Brabant;Demerbekken;Elektrisch;2001;06/03/2001;kopvoorn;18.00;per 100m
Demer;187413/187481;187413;187481;Demermeander 8 bis, via Hompelstraat, Rommelaar;Aarschot;Brabant;Demerbekken;Elektrisch;2016;08/09/2016;kopvoorn;0.42;per 100m
Laarbeek;187521/187341;187521;187341;voor monding;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2014;20/08/2014;kopvoorn;1.00;per 100m
Laarbeek;187521/187341;187521;187341;voor monding;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2015;20/11/2015;kopvoorn;5.00;per 100m
Demer;190681/188490;190681;188490;Testelt aan de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2003;05/05/2003;kopvoorn;0.40;per 100m
Demer;190681/188490;190681;188490;Testelt aan de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2006;18/05/2006;kopvoorn;0.20;per 100m
Demer;190681/188490;190681;188490;Testelt aan de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2014;18/06/2014;kopvoorn;0.80;per 100m
Demer;190681/188490;190681;188490;Testelt aan de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2020;23/06/2020;kopvoorn;3.20;per 100m
Demer;190681/188490;190681;188490;Testelt aan de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2021;21/10/2021;kopvoorn;0.80;per 100m
Dalemansloop;192412/212074;192412;212074;thv N19;Geel;Antwerpen;Netebekken;Elektrisch;2014;31/07/2014;kopvoorn;7.00;per 100m
Grote Gete;192584/166814;192584;166814;Tienen, SA het zuiveringsstation;Tienen;Brabant;Demerbekken;Elektrisch;2017;07/09/2017;kopvoorn;1.50;per 100m
Dalemansloop;193051/211472;193051;211472;thv Breevense dijk;Geel;Antwerpen;Netebekken;Elektrisch;2014;31/07/2014;kopvoorn;1.00;per 100m
Dalemansloop;193051/211472;193051;211472;thv Breevense dijk;Geel;Antwerpen;Netebekken;Elektrisch;2021;05/10/2021;kopvoorn;2.00;per 100m
Demer;193230/188174;193230;188174;stroomafwaarts de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2009;08/06/2009;kopvoorn;4.60;per 100m
Demer;193230/188174;193230;188174;stroomafwaarts de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2012;06/06/2012;kopvoorn;2.20;per 100m
Demer;193230/188174;193230;188174;stroomafwaarts de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2014;17/06/2014;kopvoorn;0.20;per 100m
Demer;193230/188174;193230;188174;stroomafwaarts de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2020;23/06/2020;kopvoorn;24.60;per 100m
Demer;193230/188174;193230;188174;stroomafwaarts de molen;Scherpenheuvel-Zichem;Brabant;Demerbekken;Elektrisch;2021;20/10/2021;kopvoorn;3.80;per 100m
Grote Gete;193389/167610;193389;167610;/;Tienen;Brabant;Demerbekken;Elektrisch;2001;06/03/2001;kopvoorn;1.00;per 100m
Grote Nete;193396/201800;193396;201800;Voor parallelweg;Geel;Antwerpen;Netebekken;Elektrisch;2017;20/09/2017;kopvoorn;2.00;per 100m
